Order ID,Customer ID,Product ID,Product Name,Quantity Ordered,Price,Total Price,Ordered Date
ORD-4AC56244,CUST-2824,PROD-125,ハブ,4,$198.37,$793.49,2025-04-15 11:12:50
ORD-3C06E01E,CUST-3286,PROD-854,マウス,9,$79.3,$713.7,2024-09-03 19:40:31
ORD-8479BA8C,CUST-7912,PROD-132,デスクトップPC,2,$194.38,$388.76,2024-12-03 19:50:15
ORD-0DA5B9D5,CUST-4811,PROD-617,掃除機,1,$493.75,$493.75,2024-11-14 23:09:01
ORD-94FF9E72,CUST-4257,PROD-833,付箋,7,$195.95,$1371.67,2025-05-20 18:59:38
ORD-4B83C9FA,CUST-8359,PROD-703,ハブ,1,$666.39,$666.39,2025-04-29 00:49:41
ORD-B1E370DD,CUST-3615,PROD-814,ホッチキス,6,$246.14,$1476.84,2025-07-16 11:15:43
ORD-445CDB66,CUST-3547,PROD-320,デスク,2,$84.37,$168.75,2024-09-26 08:40:44
ORD-8F1A3171,CUST-7224,PROD-199,本棚,6,$530.87,$3185.24,2025-01-26 07:05:25
ORD-BF7AF13D,CUST-5333,PROD-926,タブレット,8,$471.89,$3775.15,2024-09-05 13:29:23
ORD-993049C0,CUST-3045,PROD-487,キーボード,9,$259.51,$2335.62,2024-11-13 07:12:09
ORD-26C7B793,CUST-6925,PROD-691,スピーカー,2,$43.37,$86.75,2025-02-25 15:57:54
ORD-0670DD2C,CUST-4733,PROD-891,LANケーブル,2,$206.75,$413.49,2024-09-04 08:59:58
ORD-3A2CC685,CUST-2654,PROD-489,ハブ,8,$558.8,$4470.4,2024-11-06 02:13:37
ORD-D10B6A8D,CUST-6977,PROD-266,ファイル,6,$186.4,$1118.4,2025-04-19 06:34:18
ORD-4BBF0487,CUST-5374,PROD-818,イヤホン,10,$558.18,$5581.8,2025-03-12 01:47:24
ORD-12449FC7,CUST-3803,PROD-646,ルーター,3,$407.26,$1221.78,2024-11-13 22:57:02
ORD-BAF154C5,CUST-7216,PROD-376,コーヒーメーカー,4,$601.55,$2406.21,2025-03-28 05:00:23
ORD-483A87F9,CUST-6313,PROD-963,スマートフォン,4,$31.38,$125.52,2025-06-16 08:21:57
ORD-622C1FD9,CUST-6168,PROD-510,ハブ,2,$187.69,$375.37,2024-08-28 01:57:16
ORD-A553599E,CUST-6155,PROD-317,時計,7,$565.06,$3955.42,2025-06-15 00:49:06
ORD-93ECD722,CUST-8517,PROD-246,スイッチ,3,$218.83,$656.5,2025-05-06 20:07:37
ORD-D679AB72,CUST-9830,PROD-369,冷蔵庫,7,$513.23,$3592.59,2024-12-27 13:36:35
ORD-29D602B5,CUST-7543,PROD-470,ケーブル,3,$448.56,$1345.68,2024-10-21 07:27:01
ORD-E3F80162,CUST-9085,PROD-193,スマートフォン,2,$136.89,$273.77,2025-08-09 03:23:41
ORD-DC80C921,CUST-3621,PROD-911,ホッチキス,10,$58.84,$588.4,2024-12-26 05:40:16
ORD-AD62A2DC,CUST-7304,PROD-490,掃除機,8,$465.68,$3725.44,2024-09-28 11:24:32
ORD-E1CEF633,CUST-5119,PROD-666,ノートパソコン,2,$599.02,$1198.04,2024-09-29 22:05:44
ORD-DE774E9F,CUST-9797,PROD-868,ハブ,6,$100.81,$604.84,2025-06-30 04:53:31
ORD-76039878,CUST-5808,PROD-545,USBメモリ,8,$6.17,$49.33,2025-04-02 11:19:55
ORD-9FACDDE6,CUST-5315,PROD-612,Webカメラ,9,$96.31,$866.82,2025-06-15 12:15:14
ORD-8D95C59D,CUST-5889,PROD-961,カレンダー,10,$177.14,$1771.4,2025-05-18 08:07:05
ORD-7C720053,CUST-3504,PROD-482,USBメモリ,9,$466.76,$4200.84,2025-03-08 21:40:11
ORD-0F31A626,CUST-1009,PROD-713,デスクチェア,8,$20.35,$162.77,2025-08-14 22:19:14
ORD-C43058D9,CUST-2832,PROD-471,電源タップ,4,$53.95,$215.79,2025-01-10 12:03:27
ORD-0D52FCE1,CUST-4946,PROD-999,電子レンジ,2,$78.17,$156.35,2025-03-14 15:48:30
ORD-3982DAD7,CUST-8962,PROD-935,イヤホン,9,$113.22,$1018.98,2025-06-23 14:51:37
ORD-8486A229,CUST-3103,PROD-775,電卓,9,$147.62,$1328.58,2025-04-07 20:34:11
ORD-22670F31,CUST-5342,PROD-640,掃除機,7,$188.4,$1318.8,2025-07-05 09:03:10
ORD-1411B4BE,CUST-9835,PROD-873,スピーカー,5,$351.97,$1759.87,2025-03-23 20:55:47
ORD-EADD5DE8,CUST-7118,PROD-548,手帳,8,$109.07,$872.53,2025-05-09 04:19:15
ORD-F27DB5D3,CUST-5061,PROD-330,イヤホン,6,$21.71,$130.28,2024-09-11 09:30:11
ORD-272B4D20,CUST-4770,PROD-702,ケーブル,1,$65.37,$65.37,2024-11-16 16:06:02
ORD-20945BBF,CUST-1964,PROD-334,イヤホン,1,$292.06,$292.06,2024-12-09 01:16:28
ORD-5BC9B579,CUST-2160,PROD-626,ルーター,5,$587.89,$2939.47,2024-09-23 18:14:38
ORD-5893A483,CUST-8953,PROD-319,付箋,3,$635.41,$1906.22,2024-11-18 10:50:33
ORD-B54959A6,CUST-8744,PROD-348,電卓,7,$169.71,$1187.99,2024-10-01 11:31:47
ORD-25709E34,CUST-2545,PROD-199,ホッチキス,6,$373.46,$2240.76,2024-12-04 21:33:31
ORD-A48DB123,CUST-7735,PROD-578,スマートフォン,2,$56.29,$112.59,2025-04-14 02:31:14
ORD-4DD57FF2,CUST-7596,PROD-845,デスク,2,$220.61,$441.21,2025-01-05 12:21:19
ORD-73AD71F2,CUST-4139,PROD-294,付箋,8,$125.82,$1006.56,2025-01-07 11:04:56
ORD-F8E34A7D,CUST-7912,PROD-287,ハブ,8,$221.61,$1772.91,2024-11-09 23:26:05
ORD-C9706F06,CUST-2235,PROD-553,コーヒーメーカー,2,$47.53,$95.07,2024-11-30 21:29:58
ORD-C6E60C07,CUST-9856,PROD-956,ノートパソコン,2,$661.81,$1323.61,2025-08-01 15:47:45
ORD-8D8218D3,CUST-4872,PROD-270,クリアファイル,8,$423.95,$3391.57,2025-04-18 14:25:06
ORD-11D05174,CUST-4502,PROD-985,ノート,1,$147.19,$147.19,2025-04-04 10:32:59
ORD-FD7C742F,CUST-7209,PROD-102,ペン,5,$400.92,$2004.6,2024-10-27 00:14:55
ORD-41E7A114,CUST-5673,PROD-533,コーヒーメーカー,8,$138.59,$1108.75,2025-05-18 02:49:59
ORD-9D60F425,CUST-4111,PROD-403,充電器,1,$509.43,$509.43,2024-10-24 04:39:56
ORD-FB8099D0,CUST-9883,PROD-162,デスクチェア,1,$47.15,$47.15,2025-01-10 20:06:14
ORD-556382AC,CUST-8811,PROD-614,手帳,3,$53.03,$159.1,2025-08-20 21:39:26
ORD-B8B00F78,CUST-9320,PROD-182,Webカメラ,2,$523.28,$1046.56,2025-04-15 16:13:09
ORD-28D0B665,CUST-2113,PROD-791,ルーター,7,$108.09,$756.61,2025-03-16 10:41:39
ORD-F598D116,CUST-5033,PROD-692,掃除機,1,$544.55,$544.55,2025-05-01 21:58:17
ORD-74F086FD,CUST-2343,PROD-529,冷蔵庫,10,$460.15,$4601.47,2025-06-28 12:20:08
ORD-390472A1,CUST-6183,PROD-367,充電器,6,$211.9,$1271.4,2025-06-04 04:18:59
ORD-E87787FA,CUST-5351,PROD-505,プリンター,5,$402.86,$2014.3,2024-11-17 02:08:43
