Order ID,Shipping Date,Carrier,Tracking Number,Latitude,Longitude,Shipping Status
ORD-4AC56244,2025-04-20 11:12:50,トナミ運輸,トナ296870441,33.633545,130.372343,配達完了
ORD-3C06E01E,2024-09-07 19:40:31,ヤマト運輸,ヤマ251557085,34.46787,132.485904,配送中
ORD-8479BA8C,2024-12-06 19:50:15,第一貨物,第一692914585,35.370065,133.13722,配達完了
ORD-0DA5B9D5,2024-11-15 23:09:01,名鉄運輸,名鉄847657915,35.255265,136.985351,配送準備中
ORD-94FF9E72,2025-05-27 18:59:38,西濃運輸,西濃462227674,35.767294,139.575375,配送準備中
ORD-4B83C9FA,2025-05-04 00:49:41,福山通運,福山135611525,34.658316,135.498314,配送遅延
ORD-B1E370DD,2025-07-21 11:15:43,第一貨物,第一799661608,35.655137,139.692119,配送遅延
ORD-445CDB66,2024-09-27 08:40:44,ヤマト運輸,ヤマ705945988,35.439223,133.021364,不在票投函
ORD-8F1A3171,2025-01-31 07:05:25,トナミ運輸,トナ549252976,38.178124,140.87608,不在票投函
ORD-BF7AF13D,2024-09-10 13:29:23,佐川急便,佐川919050506,34.396731,132.517205,配送中
ORD-993049C0,2024-11-14 07:12:09,福山通運,福山145067287,26.303164,127.673409,配送中
ORD-26C7B793,2025-02-26 15:57:54,名鉄運輸,名鉄836483400,26.128951,127.635315,配送中
ORD-0670DD2C,2024-09-09 08:59:58,ヤマト運輸,ヤマ309391367,35.345702,133.129332,配送中
ORD-3A2CC685,2024-11-07 02:13:37,ヤマト運輸,ヤマ466456477,34.320716,132.514518,不在票投函
ORD-D10B6A8D,2025-04-20 06:34:18,日本郵便,日本800049351,43.062688,141.349633,配達完了
ORD-4BBF0487,2025-03-18 01:47:24,第一貨物,第一769694199,36.605153,136.725223,配送遅延
ORD-12449FC7,2024-11-15 22:57:02,佐川急便,佐川348073574,35.173869,136.91319,配達完了
ORD-BAF154C5,2025-03-30 05:00:23,日本郵便,日本740008310,33.524984,130.416679,配送中
ORD-483A87F9,2025-06-23 08:21:57,日本通運,日本374794375,35.598627,139.668832,配送中
ORD-622C1FD9,2024-09-02 01:57:16,福山通運,福山625384974,38.226528,140.897577,配送遅延
ORD-A553599E,2025-06-20 00:49:06,トナミ運輸,トナ945476832,43.036402,141.300553,配送遅延
ORD-93ECD722,2025-05-07 20:07:37,ヤマト運輸,ヤマ610620030,35.37844,133.147067,不在票投函
ORD-D679AB72,2024-12-29 13:36:35,トナミ運輸,トナ541405555,35.510867,132.999036,配達完了
ORD-29D602B5,2024-10-24 07:27:01,日本通運,日本796132557,35.632229,139.733923,配送遅延
ORD-E3F80162,2025-08-11 03:23:41,名鉄運輸,名鉄629180475,38.175938,140.944301,不在票投函
ORD-DC80C921,2025-01-01 05:40:16,第一貨物,第一133660447,35.459911,133.096949,配送準備中
ORD-AD62A2DC,2024-10-02 11:24:32,日本郵便,日本201994531,34.75242,135.555477,配送遅延
ORD-E1CEF633,2024-10-05 22:05:44,名鉄運輸,名鉄102539118,43.002789,141.294195,配達完了
ORD-DE774E9F,2025-07-06 04:53:31,トナミ運輸,トナ723507395,34.338228,132.378406,配送準備中
ORD-76039878,2025-04-05 11:19:55,トナミ運輸,トナ133279839,34.771031,135.537736,配送中
